"X","광역시도","시군","pop","moon","hong","ahn","electionSum","electionRatio"
0,"서울특별시","종로구",102566,42512,22325,22313,87150,84.9696780609559
1,"서울특별시","중구",82852,34062,17901,19372,71335,86.0993096123208
2,"서울특별시","용산구",148157,58081,35230,32109,125420,84.6534419568431
3,"서울특별시","성동구",203175,86686,40566,45674,172926,85.1118493909192
4,"서울특별시","광진구",240030,105512,46368,52824,204704,85.2826729992084
5,"서울특별시","동대문구",236092,98958,51631,53359,203948,86.3849685715738
6,"서울특별시","중랑구",265706,111450,56545,62778,230773,86.8527620753765
7,"서울특별시","성북구",295866,129263,57584,66518,253365,85.6350510028188
8,"서울특별시","강북구",210614,89645,42268,51669,183582,87.165145716809
9,"서울특별시","도봉구",229233,94898,47461,55600,197959,86.3571126321254
10,"서울특별시","노원구",374213,158167,67590,96325,322082,86.069163818467
11,"서울특별시","은평구",317275,140180,60109,72582,272871,86.0045701678355
12,"서울특별시","서대문구",212076,93768,40513,46237,180518,85.1194854674739
13,"서울특별시","마포구",256992,117336,46547,52545,216428,84.2158510770763
14,"서울특별시","양천구",310886,133853,60814,71816,266483,85.7172725693663
15,"서울특별시","강서구",397108,175882,76601,88128,340611,85.7728879800961
16,"서울특별시","구로구",278805,121077,59194,61734,242005,86.8008106023923
17,"서울특별시","금천구",155010,67423,31106,36695,135224,87.235662215341
18,"서울특별시","영등포구",248833,105834,53615,53994,213443,85.7776098829335
19,"서울특별시","동작구",276685,121722,54431,60305,236458,85.4610839040786
20,"서울특별시","관악구",351240,159854,59914,79495,299263,85.2018562806059
21,"서울특별시","서초구",292916,106416,74891,63977,245284,83.7386827622936
22,"서울특별시","강남구",365642,128927,97639,80201,306767,83.8981845630425
23,"서울특별시","송파구",441198,177328,98549,99018,374895,84.9720533637959
24,"서울특별시","강동구",297476,122511,65893,67499,255903,86.0247549382135
25,"부산광역시","중구",28604,9918,10684,4675,25277,88.36875961404
26,"부산광역시","서구",71446,24522,26360,11868,62750,87.8285698289617
27,"부산광역시","동구",58304,19606,22188,9815,51609,88.5170828759605
28,"부산광역시","영도구",78013,30094,25345,13082,68521,87.8327970979196
29,"부산광역시","부산진구",246124,95042,79545,40636,215223,87.444946449757
30,"부산광역시","동래구",181098,67947,59616,30208,157771,87.1191288694519
31,"부산광역시","남구",181922,68566,59137,30943,158646,87.2055056562703
32,"부산광역시","북구",203689,83611,61175,32712,177498,87.1416718624963
33,"부산광역시","해운대구",266870,102106,80904,48325,231335,86.6845280473639
